"","unowned_mult","HDR","unowned_prop","owned_cov","pSeek_exp","deaths_LL","deaths_Median","deaths_UL","bites_LL","bites_Median","bites_UL","exposures_LL","exposures_Median","exposures_UL","exposure_pct_LL","exposure_pct_Median","exposure_pct_UL","owned_vax_cov","median_deaths"
"56",7,12.242042672263,0.708,0.5,0.8,1744.975,2033,2335.375,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,2033
"57",1,31.1111111111111,0.257,0.4,0.9,58.975,83,111.025,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,83
"58",1,31.1111111111111,0.257,0.5,0.9,24,40,58,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,40
"59",2,24.7524752475248,0.409,0.4,0.9,166.975,216,274.025,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,216
"60",2,24.7524752475248,0.409,0.5,0.9,73.975,102,139,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,102
"61",3,20.5519671168526,0.509,0.4,0.9,350.95,429,520.05,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,429
"62",3,20.5519671168526,0.509,0.5,0.9,170,222,288,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,222
"63",4,17.570281124498,0.58,0.4,0.9,586,694.5,815.025,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,694.5
"64",4,17.570281124498,0.58,0.5,0.9,335.975,414,509.025,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,414
"65",5,15.3441473038141,0.633,0.4,0.9,822,969,1120.05,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,969
"66",5,15.3441473038141,0.633,0.5,0.9,545,655,775.05,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,655
"67",6,13.6186770428016,0.675,0.4,0.9,1103,1257.5,1416.025,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,1257.5
"68",6,13.6186770428016,0.675,0.5,0.9,780.95,926,1074.025,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,926
"69",7,12.242042672263,0.708,0.4,0.9,1362.95,1533.5,1725,5350487.6,5355022,5359444.075,58555.15,65491.5,72305.925,1.09438904222486,1.22299217444858,1.34913106635971,0.4,1533.5
"70",7,12.242042672263,0.708,0.5,0.9,1029.975,1198.5,1391.075,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,1198.5
"71",1,31.1111111111111,0.257,0.4,0.95,37,55,75,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,55
"72",1,31.1111111111111,0.257,0.5,0.95,15,25,39,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,25
"73",2,24.7524752475248,0.409,0.4,0.95,105,140,183,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,140
"74",2,24.7524752475248,0.409,0.5,0.95,45.975,67,92,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,67
"75",3,20.5519671168526,0.509,0.4,0.95,226,281,347,5350742.2,5355077,5359624.25,15222.725,18316,21713.625,0.284497447849384,0.342030562772487,0.405133344935515,0.4,281
"76",3,20.5519671168526,0.509,0.5,0.95,108,146,191.025,5350316.65,5354929.5,5359511.25,7478.5,9504.5,11921.2,0.13977677377282,0.17749066537664,0.222430730040916,0.5,146
"77",4,17.570281124498,0.58,0.4,0.95,377.95,455,537.025,5350513.65,5354971.5,5359506.6,25354.675,29594,33703.775,0.473873662578171,0.552645331539113,0.628859660327688,0.4,455
"78",4,17.570281124498,0.58,0.5,0.95,216,270,335.025,5350585.9,5355061.5,5359543.625,14580.95,17650.5,21263.05,0.272511277690168,0.329604057768524,0.396732473653482,0.5,270
"79",5,15.3441473038141,0.633,0.4,0.95,541.95,632,733.025,5350790.85,5354921,5359570.425,35965.725,41348.5,47159.1,0.67215718214813,0.772158917003631,0.879904474806859,0.4,632
"80",5,15.3441473038141,0.633,0.5,0.95,351,428,514.025,5350551.2,5354905.5,5359336.05,23634.025,27905.5,32666.775,0.441711967918371,0.521120307351829,0.60953026074937,0.5,428
"81",6,13.6186770428016,0.675,0.4,0.95,715,824,931.05,5350660.85,5354908,5359480.6,47368.7,53766.5,59654.025,0.885286908064823,1.00406020047403,1.11305608606924,0.4,824
"82",6,13.6186770428016,0.675,0.5,0.95,506.975,606,709.025,5350238.6,5355048,5359350,33809.95,39440,45343.725,0.631933499190111,0.7365013348153,0.846067620140502,0.5,606
"83",7,12.242042672263,0.708,0.4,0.95,884.95,1000,1131.05,5350487.6,5355022,5359444.075,58555.15,65491.5,72305.925,1.09438904222486,1.22299217444858,1.34913106635971,0.4,1000
"84",7,12.242042672263,0.708,0.5,0.95,673,782,907,5350352.625,5355110.5,5359979.05,44565.9,51145,58506.2,0.83295257571925,0.955068994374626,1.09153784845484,0.5,782
"85",1,31.1111111111111,0.257,0.4,1,15,25,38,5350478.025,5354988,5359423.1,2778.725,3560.5,4523.05,0.0519341447066311,0.0664894113674951,0.0843943446077247,0.4,25
"86",1,31.1111111111111,0.257,0.5,1,5,12,21,5350445.275,5354973,5359617,1233,1681.5,2273.05,0.023044810976036,0.0314007185470403,0.0424106797183455,0.5,12
"87",2,24.7524752475248,0.409,0.4,1,47,66,90,5350419.175,5355030,5359627.4,7403.675,9200.5,11465.025,0.138375606804676,0.171810428699746,0.213914590406042,0.4,66
"88",2,24.7524752475248,0.409,0.5,1,20,31,46,5350769.625,5355119,5359693.1,3423.85,4322.5,5587.55,0.0639879912602292,0.0807171605336875,0.104251304986101,0.5,31
